"","ART_NUM","ART_START","ART_END","WORDS","DATE"
"563",563,31210,31295,1034,18373
"564",564,31296,31357,568,18374
"565",565,31358,31426,552,18374
"566",566,31427,31481,481,18374
"567",567,31482,31565,756,18374
"568",568,31566,31619,473,18375
"569",569,31620,31676,476,18376
"570",570,31677,31759,1137,18376
"571",571,31760,31814,365,18376
"572",572,31815,31860,329,18376
"573",573,31861,31907,240,18376
"574",574,31908,31945,327,18376
"575",575,31946,32009,618,18376
"576",576,32010,32064,479,18376
"577",577,32065,32100,318,18376
"578",578,32101,32153,548,18377
"579",579,32154,32200,427,18377
"580",580,32201,32254,464,18377
"581",581,32255,32291,313,18377
"582",582,32292,32355,614,18377
"583",583,32356,32404,223,18378
"584",584,32405,32458,480,18378
"585",585,32459,32491,99,18378
"586",586,32492,32555,668,18378
"587",587,32556,32605,439,18379
"588",588,32606,32644,273,18379
"589",589,32645,32694,952,18379
"590",590,32695,32754,444,18379
"591",591,32755,32798,181,18379
"592",592,32799,32855,514,18380
"593",593,32856,32908,448,18380
"594",594,32909,32970,826,18380
"595",595,32971,33025,731,18380
"596",596,33026,33093,674,18380
"597",597,33094,33148,490,18380
"598",598,33149,33189,264,18380
"599",599,33190,33247,512,18380
"600",600,33248,33304,486,18380
"601",601,33305,33357,300,18380
"602",602,33358,33406,429,18380
"603",603,33407,33465,466,18380
"604",604,33466,33522,677,18380
"605",605,33523,33588,652,18380
"606",606,33589,33658,665,18380
"607",607,33659,33714,463,18380
"608",608,33715,33774,536,18380
"609",609,33775,33829,446,18380
"610",610,33830,33891,448,18380
"611",611,33892,33957,587,18381
"612",612,33958,34019,713,18381
"613",613,34020,34068,310,18381
"614",614,34069,34118,392,18382
"615",615,34119,34169,379,18382
"616",616,34170,34220,779,18382
"617",617,34221,34261,309,18383
"618",618,34262,34301,165,18383
"619",619,34302,34353,406,18383
"620",620,34354,34394,302,18383
"621",621,34395,34451,782,18383
"622",622,34452,34507,770,18383
"623",623,34508,34545,92,18383
"624",624,34546,34603,649,18384
"625",625,34604,34666,480,18384
"626",626,34667,34714,421,18384
"627",627,34715,34759,446,18384
"628",628,34760,34809,481,18384
"629",629,34810,34870,513,18384
"630",630,34871,34918,482,18384
"631",631,34919,34973,422,18384
"632",632,34974,35034,513,18385
"633",633,35035,35079,321,18385
"634",634,35080,35124,885,18385
"635",635,35125,35172,471,18385
"636",636,35173,35217,499,18385
"637",637,35218,35263,933,18385
"638",638,35264,35331,686,18385
"639",639,35332,35384,460,18386
"640",640,35385,35436,447,18386
"641",641,35437,35500,460,18386
"642",642,35501,35556,464,18387
"643",643,35557,35605,315,18387
"644",644,35606,35664,512,18387
"645",645,35665,35738,864,18387
"646",646,35739,35787,402,18387
"647",647,35788,35831,299,18387
"648",648,35832,35871,723,18387
"649",649,35872,35936,938,18388
"650",650,35937,35986,422,18388
"651",651,35987,36026,329,18389
"652",652,36027,36067,448,18389
"653",653,36068,36116,416,18390
"654",654,36117,36158,366,18390
"655",655,36159,36203,285,18391
"656",656,36204,36259,525,18391
"657",657,36260,36312,467,18391
"658",658,36313,36360,400,18391
"659",659,36361,36407,524,18391
"660",660,36408,36471,575,18391
"661",661,36472,36523,228,18391
"662",662,36524,36589,671,18391
"663",663,36590,36654,502,18391
"664",664,36655,36712,412,18391
"665",665,36713,36767,426,18391
"666",666,36768,36819,980,18391
"667",667,36820,36876,463,18391
"668",668,36877,36935,452,18392
"669",669,36936,36984,433,18392
"670",670,36985,37045,601,18392
"671",671,37046,37116,571,18392
"672",672,37117,37169,506,18392
"673",673,37170,37224,648,18392
"674",674,37225,37292,637,18392
"675",675,37293,37342,521,18392
"676",676,37343,37400,658,18392
"677",677,37401,37455,474,18392
"678",678,37456,37515,1081,18392
"679",679,37516,37612,1318,18392
"680",680,37613,37686,1026,18392
"681",681,37687,37737,456,18393
"682",682,37738,37789,467,18393
"683",683,37790,37843,556,18393
"684",684,37844,37885,326,18393
"685",685,37886,37921,324,18393
"686",686,37922,37983,505,18393
"687",687,37984,38042,722,18393
"688",688,38043,38095,531,18393
"689",689,38096,38146,390,18393
"690",690,38147,38188,323,18393
"691",691,38189,38224,330,18393
"692",692,38225,38285,507,18393
"693",693,38286,38333,385,18393
"694",694,38334,38389,503,18393
"695",695,38390,38443,455,18393
"696",696,38444,38511,646,18393
"697",697,38512,38576,578,18394
"698",698,38577,38643,611,18394
"699",699,38644,38718,769,18394
"700",700,38719,38770,552,18394
"701",701,38771,38825,383,18394
"702",702,38826,38860,323,18394
"703",703,38861,38920,688,18394
"704",704,38921,38980,501,18394
"705",705,38981,39019,497,18394
"706",706,39020,39083,594,18395
"707",707,39084,39157,770,18395
"708",708,39158,39205,386,18396
"709",709,39206,39256,464,18396
"710",710,39257,39307,464,18397
"711",711,39308,39345,322,18397
"712",712,39346,39411,960,18397
"713",713,39412,39449,323,18397
"714",714,39450,39488,310,18397
"715",715,39489,39526,139,18397
"716",716,39527,39577,386,18397
