,X,ART_NUM,ART_START,ART_END,WORDS,vader_score_neg,vader_score_neu,vader_score_pos,vader_score_compound,DATE,Argentina,Bangladesh,Bahrain,Brazil,Bulgaria,Chile,China,Colombia,Czech Republic,Egypt,Estonia,Greece,Hungary,India,Indonesia,Iran,Israel,Jordan,Kazakhstan,Kenya,Lebanon,Malaysia,Mauritius,Mexico,Morocco,Malaysia.1,Nigeria,Oman,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Slovakia,Slovenia,Saudi Arabia,South Africa,South Korea,Sri Lanka,Taiwan,Thailand,Tunisia,Turkey,Ukraine,United Arab Emirates,Venezuela,Vietnam,China_score,India_score,
76,75,76,3361,3409,1038,0.06,0.817,0.123,0.9961,18467,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
77,76,77,3410,3444,722,0.025,0.879,0.096,0.9928,18467,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,77,78,3445,3485,804,0.027,0.893,0.079,0.9905,18467,0,0,0,0,0,0,4,0,0,0,0,0,0,1,6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0.139728966501588,0.0349322416253971,
79,78,79,3486,3522,776,0.037,0.866,0.097,0.9912,18467,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320238057069856,
80,79,80,3523,3595,1550,0.029,0.863,0.108,0.9991,18467,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355280315280493,0.0507543307543561,
81,80,81,3596,3642,1411,0.053,0.86,0.088,0.9906,18467,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,2,0,0.0527429980305191,
82,81,82,3643,3707,2759,0.066,0.829,0.106,0.9988,18467,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0.057045834569706,0,
83,82,83,3708,3734,315,0,0.88,0.12,0.9872,18467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
84,83,84,3735,3773,940,0.011,0.902,0.088,0.9961,18467,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974675990352801,0.0324891996784267,
85,84,85,3774,3810,675,0.021,0.917,0.062,0.9661,18467,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371852063376065,0,
86,85,86,3811,3847,737,0.031,0.881,0.088,0.9877,18467,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327441573998526,0,
87,86,87,3848,3882,685,0.017,0.887,0.096,0.9936,18467,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,87,88,3883,3915,514,0.027,0.862,0.111,0.9906,18467,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218467464566077,0,
