"","ART_NUM","ART_START","ART_END","WORDS","DATE"
"796",796,50889,50903,69,18584
"797",797,50904,50930,321,18585
"798",798,50931,50957,221,18596
"799",799,50958,50994,725,18597
"800",800,50995,51021,255,18597
"801",801,51022,51042,304,18599
"802",802,51043,51105,1441,18599
"803",803,51106,51156,1047,18599
"804",804,51157,51185,199,18604
"805",805,51186,51214,206,18604
"806",806,51215,51243,176,18604
"807",807,51244,51286,156,18605
"808",808,51287,51311,166,18607
"809",809,51312,51368,1667,18609
"810",810,51369,51438,1547,18611
"811",811,51439,51463,360,18611
"812",812,51464,51498,602,18611
"813",813,51499,51527,417,18613
"814",814,51528,51556,580,18613
"815",815,51557,51593,616,18614
"816",816,51594,51616,417,18615
"817",817,51617,51651,813,18618
"818",818,51652,51682,694,18618
"819",819,51683,51709,583,18618
"820",820,51710,51738,393,18618
"821",821,51739,51765,492,18262
"822",822,51766,51790,219,18273
"823",823,51791,51819,248,18273
"824",824,51820,51848,431,18276
"825",825,51849,51887,998,18277
"826",826,51888,51914,228,18279
"827",827,51915,51940,428,18280
"828",828,51941,52476,3883,18280
"829",829,52477,52523,1337,18281
"830",830,52524,52544,264,18282
"831",831,52545,52761,531,18282
"832",832,52762,52978,506,18282
"833",833,52979,53009,241,18282
"834",834,53010,53038,250,18283
"835",835,53039,53067,265,18283
"836",836,53068,53092,373,18287
"837",837,53093,53121,268,18287
"838",838,53122,53144,152,18289
"839",839,53145,53173,252,18289
"840",840,53174,53198,394,18289
"841",841,53199,53267,1058,18290
"842",842,53268,53298,409,18290
"843",843,53299,53329,591,18291
"844",844,53330,53358,304,18292
"845",845,53359,53395,581,18293
"846",846,53396,53422,186,18294
"847",847,53423,53453,329,18294
"848",848,53454,53484,324,18296
"849",849,53485,53513,236,18299
